Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.9103364664,0.9063173667,0.87893884325,0.9142226359,0.89180046663,0.88604752459
2,0.91282895999,0.91121805766,0.89143519455,0.91679681568,0.89720290032,0.89557294991
3,0.91525317754,0.91441780354,0.89786964208,0.91875058496,0.90138207281,0.90075821613
4,0.91701795611,0.91661005685,0.90226815213,0.92013533751,0.90448039651,0.90461003311
5,0.91848021376,0.91825761591,0.90567769717,0.92113169484,0.90694490529,0.90736147412
6,0.9197808181,0.91955856044,0.90837026636,0.9219588887,0.90907573133,0.90941946779
7,0.92079038281,0.92063577925,0.91052412086,0.9227261678,0.91092001956,0.91118047212
8,0.92167370605,0.92161373077,0.9123635603,0.92338461374,0.91253230742,0.91271149178
9,0.92248948248,0.92243495776,0.9139063209,0.92404196625,0.91402701202,0.91402831528
10,0.92318524378,0.92316582681,0.91529383852,0.92456777027,0.91528605395,0.91519736184
