Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,NaN,NaN,NaN,NaN,NaN,NaN
2,0.98384114098,0.98347168404,0.97997266421,0.98332385838,0.98249787004,0.98107183066
3,0.98318549683,0.98288518798,0.97994777412,0.98285814307,0.98195769377,0.98100420559
4,0.98266937267,0.98244575658,0.97990684193,0.98243430458,0.98156131745,0.98084397245
5,0.98225076075,0.98209345324,0.97979598792,0.98207111856,0.98124305245,0.9806590182
6,0.98191260496,0.98178627665,0.97970486972,0.98178398336,0.98097961341,0.98048324153
7,0.98161902966,0.9815112937,0.97961665205,0.98151501994,0.98075796138,0.98032693102
8,0.98135184412,0.98127384269,0.97951714756,0.98127838332,0.9805583256,0.98018259417
9,0.98111855307,0.98105120239,0.97942857649,0.98106298117,0.98039512426,0.98003736466
10,0.98090940016,0.98085485608,0.97934098304,0.980871182,0.98024263101,0.97991614364
