Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.30404727645,0.30519130691,0.31360103388,0.30618687026,0.30863115648,0.31196144407
2,0.40015120476,0.40136777499,0.39067522005,0.39568668639,0.39521550622,0.39540145282
3,0.46703636175,0.4700074112,0.45096889555,0.46224969935,0.46076867033,0.46035913276
4,0.51794064522,0.52137145017,0.49884137794,0.5111990659,0.51005293286,0.50890756712
5,0.55833839236,0.56013288916,0.5369169287,0.5508435996,0.54878529884,0.54701933773
6,0.58963699909,0.59229590388,0.56727186949,0.58281989757,0.57996007301,0.57794442192
7,0.61573533772,0.61882395769,0.59313464172,0.60945475055,0.60558632456,0.60366507152
8,0.63788651394,0.6401656731,0.61466815447,0.63103898113,0.62724613641,0.62514549874
9,0.65590586924,0.6585155758,0.63325910317,0.64943998008,0.64567033978,0.64304738524
10,0.67124043392,0.67392418996,0.6494177693,0.6647714859,0.66157183302,0.65846598393
