Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.71289085512,0.72290545559,0.63417514548,0.68603146207,0.6689607914,0.67254862315
2,0.73015321013,0.74002558249,0.65427939902,0.70628710066,0.69064612136,0.69930863069
3,0.74516216137,0.75478836736,0.67538628656,0.72460778916,0.71066617833,0.71834782404
4,0.7584721591,0.76741876813,0.69293748199,0.73919656773,0.72537291963,0.73208702982
5,0.76994329649,0.77796733021,0.70783509274,0.75147283481,0.7381146584,0.74437533008
6,0.77980094264,0.78750665176,0.72021823727,0.76206072522,0.74952678629,0.7545223671
7,0.78846917088,0.79604437964,0.73128622182,0.77154396849,0.75937440667,0.76354055262
8,0.79633088295,0.80333615555,0.74085831869,0.77952331072,0.7678627861,0.7716029016
9,0.80291711734,0.80983945605,0.74932937179,0.78679670375,0.77581964779,0.77861807811
10,0.80884721314,0.81558522731,0.75701019154,0.79320670485,0.78267019604,0.78490058171
