Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,10.2392404911,10.18268919655,9.76892180444,10.34430487134,9.81527220374,9.76161406359
2,10.30739279027,10.28476275753,9.96426015919,10.40884044108,9.93529292781,9.93891033627
3,10.37028634908,10.35840441345,10.07330041748,10.46079078853,10.02781224357,10.04899353014
4,10.4173784022,10.41335555028,10.15195419634,10.49830716727,10.10074535646,10.13455811156
5,10.45866462162,10.45535768006,10.21686553916,10.52827390479,10.1609763953,10.19658053728
6,10.49506810583,10.49099989019,10.27113076234,10.55335589957,10.21337730209,10.24532449177
7,10.52551952897,10.52297581594,10.31702524262,10.57785723803,10.26112516555,10.28903595318
8,10.55254553447,10.55172301604,10.35782444555,10.599456709,10.30402491151,10.32885336139
9,10.57817630803,10.5769493682,10.39368982161,10.62098312416,10.34347246537,10.36349740386
10,10.59996416838,10.59893576702,10.42568561083,10.63814665425,10.37782060573,10.39389614401
