Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.86771990198,0.87293393816,0.79670472913,0.84316179154,0.8396683873,0.82454768236
2,0.85241670577,0.85731789979,0.78515563898,0.832420877,0.82785859534,0.82261848897
3,0.83830404783,0.84365712498,0.77869023411,0.82290526096,0.81723934164,0.81364165667
4,0.82757616838,0.83256860803,0.77409319221,0.81272920034,0.80664181309,0.80351339138
5,0.81890783322,0.82221353216,0.76990632115,0.80471522672,0.79839581487,0.79530910545
6,0.81063837183,0.8137320333,0.7649286546,0.79826372595,0.79125084728,0.78821801623
7,0.80311650391,0.80729518149,0.76100943741,0.79226386003,0.78474075067,0.7820443491
8,0.79722091871,0.80013426143,0.75711194536,0.78612805673,0.77911517806,0.77635825643
9,0.79095683357,0.79400414806,0.75361274774,0.78067938891,0.77426612441,0.77089438101
10,0.78514318323,0.78834460144,0.75055848121,0.77529386887,0.76953757292,0.76608066693
