Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.20434174836,0.20631432281,0.19501421565,0.20030574089,0.20138979465,0.19993550679
2,0.32210983121,0.32382883618,0.30677720362,0.31562549098,0.31599704142,0.31607434869
3,0.40427078963,0.40698657584,0.38749008495,0.39866322581,0.39890152948,0.39786624276
4,0.46782618861,0.4709537411,0.45023175589,0.4614528499,0.46142174308,0.45998171765
5,0.52005697568,0.52199955786,0.50140935182,0.51326848287,0.51269366928,0.51155311606
6,0.56370345543,0.56567041575,0.54412048746,0.55709624356,0.55591198349,0.55402144216
7,0.60086855869,0.60326137748,0.58102048582,0.59474915605,0.59247102203,0.5905776393
8,0.63324124936,0.63501924277,0.61259715762,0.62712080706,0.62444176425,0.62232428801
9,0.6615088915,0.6634659961,0.64065556232,0.65547354028,0.65294334221,0.6499749823
10,0.68636322883,0.68860910404,0.66586445819,0.68026340656,0.67809549418,0.67467438249
