mae_fold_0,mae_fold_1,mae_fold_2,mae_fold_3,mae_avg,mae_std,numFactors,lambda,gamma,numIters,seed
2.9518976013869445,2.874458506510276,2.997832349418097,2.7550692956851943,2.894814438250128,0.09194325201259619,12,1.0,0.01,25,42
1.9189659500943106,1.913248847629981,1.9149072860019014,1.9156705559708538,1.9156981599242617,0.002079893437756871,4,1.0,0.001,100,42
2.2878191821438363,2.1693286495443274,2.244118644198809,2.1181610662328985,2.204856885529968,0.06557943463666652,12,0.1,0.01,75,42
0.0,0.0,0.0,0.0,0.0,0.0,8,0.01,0.1,50,42
0.0,0.0,0.0,0.0,0.0,0.0,12,0.01,0.1,50,42
1.5440722125920634,1.5404319932068729,1.5349423923955392,1.541703650959523,1.5402875622884995,0.003351141093689535,8,0.001,0.001,75,42
0.0,0.0,0.0,0.0,0.0,0.0,8,0.01,1.0,25,42
0.0,0.0,0.0,0.0,0.0,0.0,8,0.01,0.1,75,42
0.0,0.0,0.0,0.0,0.0,0.0,8,0.1,1.0,100,42
0.0,0.0,0.0,0.0,0.0,0.0,8,1.0,0.1,100,42
0.0,0.0,0.0,0.0,0.0,0.0,8,1.0,1.0,75,42
2.32387012910528,1.9863396118555507,1.9712704744880913,1.9244379834279277,2.0514795497192124,0.1589126289493175,4,0.1,0.01,50,42
0.0,0.0,0.0,0.0,0.0,0.0,12,0.01,0.1,75,42
0.0,0.0,0.0,0.0,0.0,0.0,4,0.001,0.1,100,42
0.0,0.0,0.0,0.0,0.0,0.0,4,0.1,1.0,100,42
2.2262495886723186,2.3586180612328547,2.243527752820214,2.2586668243490915,2.27176555676862,0.05143931192745596,8,0.1,0.01,50,42
1.5843198671613545,1.5784052991470763,1.5772305966804467,1.5815035557475634,1.5803648296841102,0.002765962533224943,8,0.01,0.001,50,42
0.0,0.0,0.0,0.0,0.0,0.0,4,0.1,0.1,50,42
2.3476479510473105,2.2213385057018593,2.3022878903535484,2.159524143482157,2.2576996226462187,0.07252477323960697,12,0.1,0.01,50,42
0.0,0.0,0.0,0.0,0.0,0.0,8,0.001,1.0,25,42
2.2840508081073194,1.9632343105202978,1.9458987301199653,1.9041751237348286,2.0243397431206027,0.151472967425296,4,0.1,0.01,75,42
