Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.70844543388,0.70710654288,0.67656782872,0.70326196792,0.63279493495,0.65819439182
2,0.6958522799,0.69965975117,0.68289361501,0.70112179487,0.64498231653,0.65192702413
3,0.69453286177,0.6932587049,0.69573123237,0.69943423435,0.6702575681,0.67447896931
4,0.69747655362,0.69371605406,0.69929897689,0.69986816345,0.68255099785,0.67995137047
5,0.69739168877,0.69456959707,0.70000442087,0.70022041177,0.6858642794,0.68592711886
6,0.69773272704,0.69492626626,0.7023254284,0.69944791798,0.69016462465,0.69073854785
7,0.69923420518,0.69707294279,0.70424579867,0.70088887235,0.69472356803,0.69406201694
8,0.69974804632,0.69931839336,0.70521571084,0.70273094704,0.69767004171,0.69563190384
9,0.701284122,0.70200198651,0.70562621987,0.70413540545,0.69976734376,0.69920315698
10,0.70350929146,0.70457819383,0.706715367,0.70564220166,0.70224997607,0.70313478092
