Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,NaN,NaN,NaN,NaN,NaN,NaN
2,0.95378462503,0.9534286428,0.94402112176,0.9515793793,0.94005509336,0.93779826725
3,0.95306850322,0.9529716538,0.94655350226,0.95096923071,0.94169292501,0.94098183395
4,0.95134948366,0.95151966874,0.94707069557,0.95031993669,0.94375285135,0.94371524297
5,0.95016704296,0.95081625672,0.94657151541,0.94993928986,0.94484271412,0.94594828186
6,0.94942027941,0.95030079864,0.94657898321,0.94887452772,0.94599558076,0.94724103496
7,0.94897302336,0.9496981353,0.94677388762,0.94827882038,0.94584763528,0.94799576505
8,0.9482527849,0.94897990478,0.94662591311,0.94781320837,0.9461147459,0.94811517817
9,0.94765743666,0.94826008318,0.94657843869,0.94736565525,0.94629175505,0.94795530592
10,0.94719427473,0.94765331952,0.9463046983,0.94702682937,0.94623814499,0.94672423821
