Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.48454794768,0.49192020305,0.48712924704,0.49228124545,0.49440869995,0.49548161216
2,0.6068145712,0.60974380322,0.60296277509,0.59913287864,0.58896058078,0.58937964879
3,0.6806504075,0.68356132186,0.67431296185,0.67395741025,0.66112586012,0.66433049175
4,0.74024440616,0.74112628657,0.72841363597,0.73074692395,0.71716473936,0.71789413116
5,0.77627892924,0.77785335806,0.7613813278,0.77009194219,0.75441341144,0.75933938008
6,0.80205934082,0.8044800244,0.78722378815,0.79668976561,0.7853652426,0.79263908223
7,0.8215576693,0.82199237456,0.80823419037,0.81719346164,0.80231315833,0.81661852049
8,0.83333020301,0.83420856594,0.82357513869,0.83162833804,0.82178150316,0.83426943277
9,0.84315877124,0.84576035052,0.83684496977,0.84227582217,0.83459048018,0.84091583667
10,0.84846058984,0.85007994202,0.84646868134,0.84579609141,0.84501566221,0.84753483428
