Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.80036006784,0.81545527004,0.76579205523,0.78804149891,0.72773583234,0.72665147215
2,0.82090836197,0.83112319004,0.79789389344,0.81338830101,0.77486407899,0.76582845462
3,0.84232136934,0.85088485196,0.82058985387,0.83355920577,0.7995529329,0.79544781797
4,0.86168518322,0.86953856019,0.83724328375,0.85155354682,0.81954090585,0.81997351164
5,0.87468569321,0.88072495189,0.85147549317,0.86480010011,0.83593181181,0.84026491432
6,0.88483963057,0.88993840822,0.86235129237,0.87361210211,0.85081808039,0.85536762161
7,0.8927339442,0.89741344966,0.87145298401,0.88222705951,0.85915166342,0.86756849208
8,0.89769172542,0.90302526012,0.87905215081,0.889229856,0.86850568004,0.87668354269
9,0.90369336693,0.9089110581,0.88648015753,0.89514990458,0.87732055028,0.88211834499
10,0.90914441914,0.91351948543,0.89314331187,0.90229196725,0.88415219499,0.88892519987
