Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,7.01616044761,7.08559605557,6.6401479406,7.14882040967,6.19811261303,6.31410575285
2,6.81778020024,6.97728911613,6.68805131235,7.00570595821,6.27999717088,6.33038016614
3,6.77256589478,6.87414297646,6.78176901756,6.93474789477,6.44739347513,6.47565010819
4,6.77161909391,6.83172939162,6.79584841188,6.88974455428,6.52770803143,6.53571688307
5,6.75670004476,6.82479333451,6.79302051418,6.87045366743,6.58144097962,6.60065248112
6,6.75939858644,6.80624324216,6.81912968032,6.84490259331,6.62853301746,6.65839068988
7,6.78071678062,6.8024235465,6.8445481951,6.84204010297,6.68302163201,6.70978836936
8,6.78617209244,6.81607541675,6.84567858732,6.8453914675,6.71755555205,6.73912874139
9,6.79698192704,6.83376816028,6.84844250167,6.8461283218,6.74290532349,6.77036518456
10,6.81799696556,6.84902200958,6.85444988538,6.85289287005,6.77207394898,6.80651042739
