Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.81904761905,0.8380952381,0.79047619048,0.80238095238,0.7380952381,0.74523809524
2,0.80238095238,0.80714285714,0.77738095238,0.79404761905,0.75238095238,0.74285714286
3,0.79484126984,0.80119047619,0.77261904762,0.78531746032,0.75515873016,0.74880952381
4,0.79226190476,0.79761904762,0.77261904762,0.78154761905,0.75773809524,0.75833333333
5,0.7869047619,0.79071428571,0.76976190476,0.77976190476,0.75880952381,0.765
6,0.78293650794,0.78492063492,0.76547619048,0.7746031746,0.7630952381,0.77182539683
7,0.77851473923,0.77987528345,0.76422902494,0.77171201814,0.75946712018,0.77375283447
8,0.77192460317,0.77400793651,0.76240079365,0.7683531746,0.76121031746,0.77341269841
9,0.76954365079,0.77139550265,0.76160714286,0.7650462963,0.76081349206,0.76716269841
10,0.76375,0.76494047619,0.76017857143,0.76160714286,0.75970238095,0.76255952381
