Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.33147408357,0.34585977205,0.32157678803,0.33228390907,0.30503885493,0.30902010318
2,0.51577310599,0.52267528721,0.50443973323,0.51628279082,0.49267477694,0.48997260226
3,0.63877198159,0.63872649251,0.62154622945,0.63034335452,0.62025465089,0.61386039164
4,0.72526194908,0.72813708402,0.71152177238,0.71565217738,0.70556377432,0.70330714905
5,0.78480768112,0.79107658574,0.77472080606,0.77822982014,0.76683376587,0.77131034163
6,0.83276278577,0.83930248034,0.82012285224,0.82468351268,0.81826134263,0.82835955396
7,0.86892591525,0.87298177543,0.85709650201,0.86136671333,0.85359965322,0.86871091335
8,0.89714604315,0.90160449542,0.88702664674,0.89127777554,0.88872368046,0.90232059293
9,0.92457208968,0.92786616336,0.91450734125,0.91615414392,0.91521173061,0.92210100353
10,0.94341082791,0.94538940349,0.93733061299,0.93972561374,0.94008803539,0.94264853115
