mae_fold_0,mae_fold_1,mae_fold_2,mae_fold_3,mae_avg,mae_std,params
1.0391197471990896,1.0584412525117473,1.0601481346611488,1.0479227430065559,1.0514079693446354,0.00850007011727973,"{numIters=100, lambda=0.01, seed=42, gamma=0.1, numFactors=12}"
0.8102429660358765,0.8255791669715012,0.8175568640200063,0.8270190069937992,0.8200995010052958,0.006736515914559824,"{numIters=100, lambda=0.1, seed=42, gamma=0.1, numFactors=4}"
0.814293191011392,0.8139059611499839,0.8179705526343938,0.8214651140008827,0.8169087046991631,0.0030718792064225986,"{numIters=100, lambda=1.0, seed=42, gamma=0.001, numFactors=12}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=100, lambda=1.0, seed=42, gamma=1.0, numFactors=12}"
0.8138813076651242,0.8140373680217943,0.8174458063672908,0.8213859237358084,0.8166876014475045,0.0030638264078166853,"{numIters=75, lambda=1.0, seed=42, gamma=0.01, numFactors=8}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=25, lambda=0.001, seed=42, gamma=1.0, numFactors=8}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=25, lambda=1.0, seed=42, gamma=1.0, numFactors=4}"
0.8339998990290852,0.8329882381580379,0.8374508725526266,0.8424905860805346,0.8367323989550711,0.0037134289814735673,"{numIters=75, lambda=1.0, seed=42, gamma=0.1, numFactors=12}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=50, lambda=1.0, seed=42, gamma=1.0, numFactors=4}"
1.03575541766744,1.059809682648621,1.0647860204565407,1.055305095640717,1.0539140541033296,0.011007147247345302,"{numIters=75, lambda=0.01, seed=42, gamma=0.1, numFactors=12}"
0.8141239981810037,0.8140917791734495,0.817725665760575,0.8216440106566664,0.8168963634429236,0.003113663375764277,"{numIters=25, lambda=1.0, seed=42, gamma=0.01, numFactors=12}"
0.8595704235765042,0.8549765986252559,0.8510500160116824,0.8570683885341963,0.8556663566869097,0.0031222507503645544,"{numIters=75, lambda=0.01, seed=42, gamma=0.01, numFactors=8}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=50, lambda=1.0, seed=42, gamma=1.0, numFactors=8}"
0.8701053495645005,0.8643016653860212,0.8586178672951941,0.8680161831966395,0.8652602663605888,0.004362060580518504,"{numIters=100, lambda=0.01, seed=42, gamma=0.01, numFactors=8}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=50, lambda=0.01, seed=42, gamma=1.0, numFactors=12}"
0.8304939302376273,0.8346722306610918,0.8208609908709159,0.8326844203840252,0.8296778930384151,0.005300620140864063,"{numIters=75, lambda=0.01, seed=42, gamma=0.001, numFactors=8}"
0.8044125231146265,0.8049571435000449,0.7952567235426886,0.7972430787674609,0.8004673672312053,0.004279871190668067,"{numIters=25, lambda=0.01, seed=42, gamma=0.01, numFactors=4}"
0.8399013203581833,0.8385635322114728,0.8363415706160405,0.8413443573428582,0.8390376951321388,0.0018412262874957712,"{numIters=25, lambda=1.0, seed=42, gamma=0.001, numFactors=8}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=100, lambda=0.001, seed=42, gamma=1.0, numFactors=12}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=50, lambda=0.1, seed=42, gamma=1.0, numFactors=12}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=50, lambda=0.01, seed=42, gamma=1.0, numFactors=4}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=100, lambda=0.01, seed=42, gamma=1.0, numFactors=8}"
0.9014222523900051,0.8801168835699054,0.8909561805318116,0.89134449452,0.8909599527529306,0.007536241596513362,"{numIters=25, lambda=0.001, seed=42, gamma=0.01, numFactors=12}"
0.8357261572869945,0.8403923037405377,0.8257285250148823,0.8380527125024017,0.834974924636204,0.005587509081920542,"{numIters=75, lambda=0.001, seed=42, gamma=0.001, numFactors=8}"
0.7644999373507148,0.7699505509198126,0.768589669837487,0.7719804151961958,0.7687551433260524,0.0027370393365607998,"{numIters=100, lambda=0.1, seed=42, gamma=0.01, numFactors=8}"
0.7596232380417941,0.7680282808780855,0.7626359901523506,0.768146544420127,0.7646085133730893,0.003638553677740793,"{numIters=75, lambda=0.1, seed=42, gamma=0.01, numFactors=4}"
0.9499549192897254,0.9429499040976469,0.9379489049277759,0.9389041691067236,0.9424394743554679,0.004727738573257798,"{numIters=50, lambda=0.001, seed=42, gamma=0.1, numFactors=4}"
0.8968728352325899,0.9018752448544136,0.878818376515623,0.8945338495892587,0.8930250765479713,0.008620287811996977,"{numIters=25, lambda=0.01, seed=42, gamma=0.001, numFactors=8}"
0.8273234640964575,0.8191074874193979,0.8223055258787842,0.8255395381513597,0.8235690038864998,0.0031416748168510886,"{numIters=75, lambda=0.1, seed=42, gamma=0.1, numFactors=8}"
0.8110443050480381,0.8263848538772585,0.8186180978419063,0.8292898105323927,0.8213342668248989,0.007107390389037536,"{numIters=75, lambda=0.1, seed=42, gamma=0.1, numFactors=4}"
0.7760905149268538,0.7763599432415772,0.7727171472232018,0.7762204336530081,0.7753470097611602,0.0015213382620714408,"{numIters=25, lambda=0.1, seed=42, gamma=0.01, numFactors=4}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=100, lambda=1.0, seed=42, gamma=1.0, numFactors=8}"
0.8008757749472027,0.8024780577405016,0.7931066993625447,0.8006450480727632,0.7992763950307531,0.003631357047022817,"{numIters=100, lambda=0.001, seed=42, gamma=0.001, numFactors=4}"
0.8977305447970694,0.89082479991778,0.8854049449301272,0.8947547663307808,0.8921787639939394,0.004614539564090069,"{numIters=100, lambda=0.001, seed=42, gamma=0.01, numFactors=8}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=75, lambda=0.01, seed=42, gamma=1.0, numFactors=4}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=75, lambda=0.1, seed=42, gamma=1.0, numFactors=12}"
0.8307584573269263,0.8367002684776657,0.8233199982912763,0.8344123749167115,0.8312977747531449,0.005070094998719017,"{numIters=100, lambda=0.001, seed=42, gamma=0.001, numFactors=8}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=75, lambda=1.0, seed=42, gamma=1.0, numFactors=4}"
1.051744329889812,1.042594139889561,1.062048814958364,1.0373294884348458,1.0484291932931458,0.009403928981046826,"{numIters=75, lambda=0.001, seed=42, gamma=0.1, numFactors=8}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=25, lambda=0.1, seed=42, gamma=1.0, numFactors=4}"
0.81229120724549,0.8278932379434611,0.8230383828380127,0.8294868393885677,0.8231774168538829,0.006718940976179483,"{numIters=50, lambda=0.1, seed=42, gamma=0.1, numFactors=4}"
0.9515321095088632,0.9627543521515881,0.9467368070888427,0.9721501516485486,0.9582933550994607,0.009889129753926732,"{numIters=100, lambda=0.001, seed=42, gamma=0.1, numFactors=4}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=75, lambda=1.0, seed=42, gamma=1.0, numFactors=8}"
0.8723871316782522,0.8640905053271142,0.8699125691912226,0.8732425173711117,0.8699081808919251,0.0035745057347847083,"{numIters=100, lambda=0.001, seed=42, gamma=0.001, numFactors=12}"
0.9536197780558806,0.956700105715533,0.941244578543855,0.951553244928091,0.9507794268108398,0.005801598052276044,"{numIters=75, lambda=0.001, seed=42, gamma=0.1, numFactors=4}"
0.8339404130222463,0.8329098401969207,0.8373496490338238,0.84267722074053,0.8367192807483802,0.0038120977256558912,"{numIters=25, lambda=1.0, seed=42, gamma=0.1, numFactors=8}"
0.9415914023434675,0.9341563152710459,0.9450548464393455,0.9434494387541491,0.941063000702002,0.004171673252556076,"{numIters=25, lambda=0.01, seed=42, gamma=0.001, numFactors=12}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=25, lambda=0.1, seed=42, gamma=1.0, numFactors=12}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=25, lambda=0.01, seed=42, gamma=1.0, numFactors=8}"
0.7653522720022811,0.7718049751422346,0.7688883813394032,0.7721740458336311,0.7695549185793875,0.0027399403394181465,"{numIters=75, lambda=0.1, seed=42, gamma=0.01, numFactors=8}"
0.9247693101211718,0.9092553456175209,0.9149719930036758,0.9115016979903379,0.9151245866831765,0.0059291080314393865,"{numIters=50, lambda=0.001, seed=42, gamma=0.01, numFactors=12}"
1.1149708559718818,1.1388124793010304,1.1238867312384775,1.1291321610480232,1.1267005568898532,0.008633001530432552,"{numIters=50, lambda=0.001, seed=42, gamma=0.1, numFactors=12}"
0.8533467126213616,0.860509621031965,0.8444978758052519,0.8594193300799066,0.8544433848846212,0.006357576041280278,"{numIters=25, lambda=0.01, seed=42, gamma=0.001, numFactors=4}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=100, lambda=0.1, seed=42, gamma=1.0, numFactors=4}"
0.8337828168358488,0.8329367576584638,0.8375107909039576,0.8423829641440864,0.8366533323855893,0.003728830326734906,"{numIters=25, lambda=1.0, seed=42, gamma=0.1, numFactors=4}"
NaN,NaN,NaN,NaN,NaN,NaN,"{numIters=100, lambda=0.1, seed=42, gamma=1.0, numFactors=8}"
0.8139236798575974,0.8140510157907853,0.8174394315898301,0.8213744203689868,0.8166971369017999,0.0030463914286615883,"{numIters=100, lambda=1.0, seed=42, gamma=0.01, numFactors=8}"
0.8138934371926034,0.8142208223124909,0.8174132768708775,0.8211525659457726,0.8166700255804361,0.0029305985024724113,"{numIters=50, lambda=1.0, seed=42, gamma=0.01, numFactors=4}"
0.8358490515070354,0.83266891902402,0.839650405233023,0.8418074381012118,0.8374939534663226,0.003508671178046066,"{numIters=50, lambda=0.1, seed=42, gamma=0.001, numFactors=12}"
0.8657511662068713,0.8599109096547336,0.866293942432742,0.8685649077969051,0.8651302315228131,0.0031928868142394847,"{numIters=75, lambda=0.01, seed=42, gamma=0.001, numFactors=12}"
