Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.80331767914,0.78583926678,0.77509468262,0.8042796546,0.72445841539,0.82911680048
2,0.80510528708,0.79060559006,0.78076238449,0.79960801394,0.75315671868,0.83223943342
3,0.81335403727,0.7924544261,0.79321188709,0.79973362622,0.76892263798,0.82870272181
4,0.81739572287,0.79934353381,0.80123718628,0.80411175074,0.78015515326,0.82739420795
5,0.81964538201,0.80741162955,0.80771840125,0.81009076908,0.78899396556,0.82803956471
6,0.82267143867,0.81422322375,0.81418661314,0.81727200424,0.79830328738,0.83282394082
7,0.82586575988,0.81949172564,0.82101422223,0.82279912495,0.80651587783,0.83502292221
8,0.82866532217,0.8239681172,0.82410635384,0.82657662349,0.8125650154,0.83687430566
9,0.83095096071,0.82719016689,0.82760382476,0.82891465308,0.81735159025,0.83806730672
10,0.83389243423,0.83004301747,0.83016193885,0.8310269593,0.82124245695,0.83874472933
