Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,NaN,NaN,NaN,NaN,NaN,NaN
2,0.96231723692,0.9653722676,0.95417929501,0.95965023189,0.96245810805,0.9507430656
3,0.96017380097,0.96174190217,0.95112002868,0.96016347446,0.95857121949,0.95134013764
4,0.9570952586,0.95909172086,0.9494724848,0.95749383187,0.95583498377,0.94965136769
5,0.95563114408,0.95670879851,0.94791640518,0.95542254358,0.95310604174,0.94830833167
6,0.95362106067,0.95471007439,0.94614943548,0.95317773817,0.9509865262,0.94699456058
7,0.95204731182,0.95277449869,0.94505983491,0.95148682198,0.94922000291,0.94535880859
8,0.95023501543,0.95128756803,0.94420289497,0.95004848672,0.94795609463,0.9441998069
9,0.94924923629,0.95013166053,0.94352716432,0.94882663228,0.94672617918,0.94333991787
10,0.9485389705,0.94887613173,0.94314244989,0.94788140636,0.9460229557,0.942663764
