Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.19491212884,0.20258105873,0.206208527,0.19616671464,0.20150212275,0.20965662179
2,0.30861178088,0.30325424293,0.27744707799,0.29424724648,0.3000467726,0.29889359996
3,0.39392882688,0.38945872055,0.35409160469,0.37577364043,0.37817376956,0.36909693397
4,0.45597153957,0.45459131712,0.40614024938,0.43765980766,0.42744511379,0.41906092725
5,0.49762074008,0.50346103018,0.4504039545,0.4853354342,0.47623790054,0.46073714867
6,0.53917972103,0.53905737556,0.48875894227,0.52296804516,0.5082512181,0.49545557112
7,0.56788222262,0.56577282967,0.51949176599,0.55098245724,0.54353816925,0.52432151443
8,0.58838619731,0.58439105681,0.54476447246,0.57226421156,0.56507903376,0.54729825421
9,0.60444862452,0.60233689897,0.56584320247,0.58963882671,0.58380744959,0.57003917672
10,0.6204501305,0.62041380789,0.58205058595,0.60362959892,0.6002293305,0.58522409627
