Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.73721966206,0.74735791091,0.61386657889,0.68792626728,0.67407066052,0.69731182796
2,0.74518483004,0.73728946741,0.62897931041,0.6972471597,0.69320189259,0.68757765836
3,0.75078315139,0.74954353728,0.65235345661,0.70672526316,0.70308153454,0.69345340181
4,0.76595839612,0.75970429833,0.66396059907,0.72333874906,0.71396483936,0.70140451944
5,0.77334168533,0.77223069324,0.68116396312,0.74218034378,0.73090050764,0.71676430483
6,0.78778900252,0.78290768911,0.69845456886,0.75171024653,0.74275011658,0.72600976421
7,0.79752039773,0.79094967437,0.71264740786,0.76232973257,0.75588773341,0.73898826325
8,0.80298171618,0.79755716485,0.72581918184,0.77114803797,0.7650895682,0.74877553232
9,0.80730716222,0.80554431794,0.73842608992,0.77885152032,0.77395490785,0.7593723365
10,0.8151339201,0.81345184586,0.74604192314,0.78475214233,0.78045772381,0.76704573695
