Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,9.34552851746,9.21132004565,9.07534789853,9.61613015456,8.68668279568,9.35883382463
2,9.34422008416,9.250974452,9.12763232448,9.49929075513,8.89113879613,9.47073350861
3,9.43238542729,9.27774711333,9.24134378006,9.46920614102,9.00018577259,9.4752324917
4,9.46643019988,9.34608885145,9.30335432908,9.4641368747,9.08298911859,9.46837359128
5,9.49745325413,9.42572709269,9.35822084741,9.48575475815,9.16330209706,9.49074733324
6,9.5257367436,9.4845294436,9.41245220637,9.53663428063,9.24455210747,9.54877373389
7,9.56000876799,9.52828396626,9.47872228162,9.58286380903,9.32061253408,9.58228252996
8,9.59089251949,9.5602723612,9.50795630359,9.60876583091,9.37772398429,9.6050336292
9,9.61770824695,9.59287642628,9.54504477753,9.62943461162,9.42945784852,9.62738346098
10,9.65429185027,9.62162106644,9.57120145364,9.648578135,9.4662549027,9.64054855455
