Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.82857142857,0.83571428571,0.74642857143,0.80357142857,0.8,0.80357142857
2,0.83928571429,0.82321428571,0.72857142857,0.77857142857,0.79821428571,0.76964285714
3,0.82321428571,0.81488095238,0.72321428571,0.77321428571,0.77797619048,0.74464285714
4,0.80952380952,0.79613095238,0.70505952381,0.76845238095,0.75148809524,0.7255952381
5,0.78327380952,0.7818452381,0.69327380952,0.75541666667,0.74327380952,0.71041666667
6,0.77089285714,0.7643452381,0.68755952381,0.73994047619,0.72267857143,0.69351190476
7,0.75703231293,0.74580782313,0.67948129252,0.72693027211,0.71672619048,0.68713435374
8,0.7418537415,0.73337159864,0.67444302721,0.71462159864,0.70658588435,0.67756802721
9,0.72697278912,0.72260770975,0.67102040816,0.70475056689,0.69760770975,0.67419501134
10,0.71844104308,0.71629818594,0.66558390023,0.6941553288,0.6891553288,0.66701247166
