Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.0957353917,0.10260194859,0.09547951249,0.09382478372,0.09584061986,0.10338678988
2,0.20604463714,0.20547469169,0.17901954689,0.18998738883,0.19197912616,0.19784771171
3,0.30739532122,0.29980077084,0.26352285779,0.27505800338,0.28873510885,0.27685414784
4,0.39101655053,0.38295722656,0.33675331348,0.36542474454,0.36599186343,0.35156933191
5,0.4561531496,0.45683771995,0.4038159728,0.44738457941,0.43873783864,0.4279335585
6,0.52215095242,0.51987440007,0.46939446067,0.50911136462,0.49348578597,0.48576026803
7,0.57182698873,0.56894142439,0.52426913063,0.55821771872,0.55004927283,0.537091181
8,0.61010149352,0.60731999036,0.56998200791,0.59840828125,0.59263100144,0.57826542699
9,0.64366237363,0.64115449913,0.61016127932,0.63168477406,0.62913538049,0.61790353515
10,0.67433953226,0.67481972269,0.63978233521,0.66035878711,0.6608949453,0.64718153277
