Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,NaN,NaN,NaN,NaN,NaN,NaN
2,0.96735556418,0.97012153188,0.95901698545,0.96825769569,0.96539529711,0.96445280154
3,0.96614324755,0.9680560649,0.9578079058,0.96668149689,0.96367610004,0.96227585395
4,0.96460193966,0.96633292188,0.95682952172,0.96520419177,0.96213833844,0.96055811435
5,0.96315417016,0.96479159395,0.95603536488,0.9637821791,0.96092250679,0.9593797984
6,0.96204352795,0.9633282639,0.95524055159,0.96242946948,0.95960789757,0.9583638506
7,0.9608501932,0.9619722577,0.95422546107,0.96112557309,0.95844007674,0.95745393049
8,0.95964811844,0.96064972437,0.95340237948,0.95992070377,0.95719476136,0.95639145735
9,0.958636323,0.95941623671,0.95270114001,0.95878198026,0.95622591443,0.95538894651
10,0.95768158327,0.95842089275,0.95204216838,0.95781957215,0.95537308308,0.95457809563
