Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.14548254452,0.14537688465,0.14603092344,0.14381241036,0.14551396406,0.14478164469
2,0.22813204021,0.22974972303,0.21289579782,0.22459615093,0.2220083851,0.21933591534
3,0.29980125042,0.3014406342,0.27860871413,0.29270294498,0.28688391455,0.28490255978
4,0.35829159298,0.35887539077,0.33243583541,0.34982802596,0.33995943065,0.33606034207
5,0.40530555411,0.40518059355,0.37661471362,0.39434599799,0.38725108436,0.38064234595
6,0.44325804619,0.44311202245,0.41476442042,0.43087507617,0.42515166962,0.41814687392
7,0.47688869172,0.47509739619,0.44697531404,0.46353927712,0.45474262594,0.44929696242
8,0.50070586364,0.5012856361,0.47267612896,0.48968862895,0.48150138863,0.47537391752
9,0.52322188181,0.52428833323,0.49615740596,0.51341636431,0.50588186903,0.49922347442
10,0.54342530693,0.54379341677,0.51659953031,0.53242659138,0.52542990322,0.51935916738
