Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.78242451886,0.79634796559,0.67250069465,0.73179164286,0.70778516992,0.6940798177
2,0.77945022649,0.79070342222,0.67794787391,0.73850909977,0.71012168566,0.69879676073
3,0.78194781434,0.78918098709,0.68602452665,0.74246131945,0.71846718255,0.7087361249
4,0.78392788613,0.78881313927,0.69268494799,0.74887108868,0.72184972735,0.71333445396
5,0.78798002701,0.7917441852,0.70233798511,0.75492629999,0.72848131916,0.72015765493
6,0.79348347472,0.7955306793,0.71235642319,0.7599623786,0.73603060329,0.728082739
7,0.79816620563,0.79969447992,0.72146339868,0.76633996579,0.74237125603,0.7350911994
8,0.80152048026,0.80335197259,0.72858846078,0.77195093836,0.74954468128,0.74271369867
9,0.80585711698,0.80762215505,0.73554078225,0.77856167806,0.75694538966,0.74925511121
10,0.80961728467,0.81268868535,0.74361989252,0.78338101979,0.76290672303,0.75596484095
