Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,9.95793434904,9.78214736263,9.63397213614,10.05192206292,9.5122715791,9.44542095096
2,9.956017985,9.83735248844,9.68756510476,10.04168859827,9.52078156861,9.49989603581
3,9.98844181877,9.89464202119,9.77242331038,10.07574812992,9.58690657178,9.58440795701
4,10.03005960835,9.96010368063,9.85371633798,10.09670512102,9.66081456782,9.66661576606
5,10.0709623596,10.0164179046,9.91764629471,10.12134066355,9.73855016585,9.74587221975
6,10.11076762284,10.07003854979,9.98266906988,10.15791852997,9.80961758866,9.8190000027
7,10.15098072284,10.11865000629,10.03835145013,10.18764269648,9.86980363602,9.88232935684
8,10.1895735725,10.1606885543,10.08502165645,10.2288106613,9.93066928294,9.94173128703
9,10.22287735727,10.20338063087,10.13178875134,10.26527529995,9.98628264474,10.00060339222
10,10.25951298872,10.24181307756,10.17043119832,10.29476576154,10.03746932952,10.05108231046
