Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.8850967008,0.90045506257,0.79806598407,0.84357224118,0.84357224118,0.8156996587
2,0.8731513083,0.88481228669,0.79010238908,0.84385665529,0.83219567691,0.80830489192
3,0.86367083807,0.87068638604,0.7868790292,0.83352294274,0.82176715965,0.80299582859
4,0.85243648085,0.8565604854,0.78019529769,0.82683921122,0.80650360258,0.79071861964
5,0.84199848312,0.84188471748,0.77453545696,0.81605991657,0.7975161168,0.78067880167
6,0.83016685628,0.82978763747,0.76901782328,0.80409556314,0.78769434964,0.77290481608
7,0.82095725662,0.81860068259,0.76212416707,0.79641638225,0.77707622298,0.76496830814
8,0.80709206891,0.8068076548,0.75284007801,0.78704087437,0.76890947505,0.75667966845
9,0.79701906929,0.7975878975,0.74651976452,0.77957500406,0.76307898586,0.75005914008
10,0.78877106019,0.78973806815,0.74195649819,0.77096673709,0.75538084403,0.74445934233
