Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.07620968442,0.0774006827,0.06907978117,0.07136901608,0.0722121283,0.06977447476
2,0.14685040072,0.14788606199,0.13209882671,0.1428753421,0.13898085222,0.13696331244
3,0.21415696234,0.21485879821,0.19622437234,0.20617965311,0.20376106022,0.20047591583
4,0.27620508406,0.2764791556,0.25492418815,0.26870661105,0.26111042211,0.25824828872
5,0.33245390385,0.33134505988,0.30904451325,0.32364693633,0.31625670593,0.31118108488
6,0.38058259208,0.3807234576,0.35829782644,0.37107252505,0.36529595461,0.36147596582
7,0.42608490375,0.42464416192,0.4020493892,0.41570348434,0.40732322753,0.40420378346
8,0.46214713914,0.46274536377,0.43889416147,0.45369374622,0.44610426909,0.44285006332
9,0.49677063576,0.49729697954,0.47392805165,0.48873297058,0.48278984275,0.47828974321
10,0.52787069474,0.52854594632,0.50587373456,0.51924252998,0.51333631989,0.50842255769
